"PROJECT_CODE","STATION_ID","Date","TEST_NAME","Replicate 2","Replicate 3","Replicate 1","mean","Diff rep 1 - rep 2","Diff rep 1 - rep 3","Diff rep 2 - rep 3"
"EVPA","LOX8",2010-09-07,"PHOSPHATE, DISSOLVED AS P",0.008,0.008,0.008,0.008,0,0,0
"EVPA","LOX8",2010-09-07,"COLOR",52,52,50,51,-2,-2,0
"EVPA","LOX8",2010-09-07,"PHOSPHATE, TOTAL AS P",0.008,0.008,0.008,0.008,0,0,0
"EVPA","LOX8",2010-09-07,"PHOSPHATE, ORTHO AS P",0.002,0.002,0.002,0.002,0,0,0
"EVPA","LOX8",2010-09-07,"NITRITE-N",0.008,0.008,0.002,0.005,-0.006,-0.006,0
"EVPA","LOX8",2010-09-07,"CHLORIDE",10.9,10.9,10.9,10.9,0,0,0
"EVPA","LOX8",2010-09-07,"SULFATE",0.1,0.1,0.1,0.1,0,0,0
"EVPA","LOX8",2010-09-07,"POTASSIUM",0.4,0.4,0.4,0.4,0,0,0
"EVPA","LOX8",2010-09-07,"CARBON, DISSOLVED ORGANIC",13.3,14.2,13.9,13.6,0.6,-0.299999999999999,-0.899999999999999
"EVPA","LOX8",2010-09-07,"SILICA",4.64,4.67,4.52,4.58,-0.12,-0.15,-0.0300000000000002
"EVPA","CA27",2010-09-14,"CARBON, DISSOLVED ORGANIC",41.1,38.7,39.4,40.25,-1.7,0.699999999999996,2.4
"EVPA","CA27",2010-09-14,"IRON, TOTAL",0.012,0.012,0.012,0.012,0,0,0
"EVPA","CA27",2010-09-14,"NITRATE+NITRITE-N",0.005,0.005,0.005,0.005,0,0,0
"EVPA","CA27",2010-09-14,"AMMONIA-N",0.024,0.026,0.025,0.0245,0.001,-0.000999999999999997,-0.002
"EVPA","CA27",2010-09-14,"SODIUM",100.4,102,102,101.2,1.59999999999999,0,-1.59999999999999
"EVPA","CA27",2010-09-14,"POTASSIUM",8.1,8.2,8.2,8.15,0.0999999999999996,0,-0.0999999999999996
"EVPA","CA27",2010-09-14,"MAGNESIUM",34.5,35,35.1,34.8,0.600000000000001,0.100000000000001,-0.5
"EVPA","CA27",2010-09-14,"CALCIUM",81.3,82.7,82.9,82.1,1.60000000000001,0.200000000000003,-1.40000000000001
"EVPA","CA27",2010-09-14,"KJELDAHL NITROGEN, TOTAL",2.28,2.26,2.24,2.26,-0.0399999999999996,-0.0199999999999996,0.02
"EVPA","CA27",2010-09-14,"CHLORIDE",146,146,145,145.5,-1,-1,0
"EVPA","CA27",2010-09-14,"SULFATE",60.4,61.1,61,60.7,0.600000000000001,-0.100000000000001,-0.700000000000003
"EVPA","CA27",2010-09-14,"COLOR",126,126,126,126,0,0,0
"EVPA","CA27",2010-09-14,"CARBON, TOTAL ORGANIC",41.4,41.4,39.7,40.55,-1.7,-1.7,0
"EVPA","CA27",2010-09-14,"KJELDAHL NITROGEN, DIS",2.24,2.16,2.23,2.235,-0.0100000000000002,0.0699999999999998,0.0800000000000001
"EVPA","CA27",2010-09-14,"PHOSPHATE, DISSOLVED AS P",0.008,0.008,0.008,0.008,0,0,0
"EVPA","CA27",2010-09-14,"PHOSPHATE, ORTHO AS P",0.002,0.002,0.002,0.002,0,0,0
"EVPA","CA27",2010-09-14,"NITRITE-N",0.008,0.008,0.008,0.008,0,0,0
"EVPA","CA27",2010-09-14,"PHOSPHATE, TOTAL AS P",0.008,0.008,0.008,0.008,0,0,0
"EVPA","CA27",2010-09-14,"SILICA",24.1,24.1,24,24.05,-0.100000000000001,-0.100000000000001,0
"EVPA","CA316",2010-11-08,"KJELDAHL NITROGEN, TOTAL",1.12,1.14,1.16,1.14,0.0399999999999998,0.02,-0.0199999999999998
"EVPA","CA316",2010-11-08,"CARBON, DISSOLVED ORGANIC",17.6,17.7,18.2,17.9,0.599999999999998,0.5,-0.0999999999999979
"EVPA","CA316",2010-11-08,"IRON, TOTAL",0.003,0.003,0.003,0.003,0,0,0
"EVPA","CA316",2010-11-08,"SULFATE",3.8,3.6,3.6,3.7,-0.2,0,0.2
"EVPA","CA316",2010-11-08,"CHLORIDE",40.9,40.3,40.9,40.9,0,0.600000000000001,0.600000000000001
"EVPA","CA316",2010-11-08,"CALCIUM",55.3,55.9,55.8,55.55,0.5,-0.100000000000001,-0.600000000000001
"EVPA","CA316",2010-11-08,"MAGNESIUM",12.7,12.9,12.9,12.8,0.200000000000001,0,-0.200000000000001
"EVPA","CA316",2010-11-08,"POTASSIUM",1.9,2,2,1.95,0.1,0,-0.1
"EVPA","CA316",2010-11-08,"SODIUM",26.6,26.6,27.1,26.85,0.5,0.5,0
"EVPA","CA316",2010-11-08,"AMMONIA-N",0.02,0.02,0.02,0.02,0,0,0
"EVPA","CA316",2010-11-08,"NITRATE+NITRITE-N",0.005,0.005,0.005,0.005,0,0,0
"EVPA","CA316",2010-11-08,"KJELDAHL NITROGEN, DIS",1.1,1.09,1.1,1.1,0,0.01,0.01
"EVPA","CA316",2010-11-08,"COLOR",49,48,49,49,0,1,1
"EVPA","CA316",2010-11-08,"CARBON, TOTAL ORGANIC",17.6,17.6,17.6,17.6,0,0,0
"EVPA","CA316",2010-11-08,"PHOSPHATE, DISSOLVED AS P",0.002,0.002,0.002,0.002,0,0,0
"EVPA","CA316",2010-11-08,"PHOSPHATE, ORTHO AS P",0.002,0.002,0.002,0.002,0,0,0
"EVPA","CA316",2010-11-08,"NITRITE-N",0.002,0.002,0.002,0.002,0,0,0
"EVPA","CA316",2010-11-08,"PHOSPHATE, TOTAL AS P",0.008,0.008,0.008,0.008,0,0,0
"EVPA","CA316",2010-11-08,"SILICA",14.4,14.3,14.8,14.6,0.4,0.5,0.0999999999999996
"EVPA","LOX8",2010-12-06,"SULFATE",0.1,0.1,0.1,0.1,0,0,0
"EVPA","LOX8",2010-12-06,"CHLORIDE",17.8,17.8,17.9,17.85,0.0999999999999979,0.0999999999999979,0
"EVPA","LOX8",2010-12-06,"CALCIUM",6.1,6.1,5.9,6,-0.199999999999999,-0.199999999999999,0
"EVPA","LOX8",2010-12-06,"MAGNESIUM",1.7,1.7,1.7,1.7,0,0,0
"EVPA","LOX8",2010-12-06,"POTASSIUM",0.4,0.4,0.4,0.4,0,0,0
"EVPA","LOX8",2010-12-06,"SODIUM",11.3,11.3,11.2,11.25,-0.100000000000001,-0.100000000000001,0
"EVPA","LOX8",2010-12-06,"KJELDAHL NITROGEN, DIS",0.98,0.95,0.99,0.985,0.01,0.04,0.03
"EVPA","LOX8",2010-12-06,"NITRATE+NITRITE-N",0.005,0.005,0.005,0.005,0,0,0
"EVPA","LOX8",2010-12-06,"AMMONIA-N",0.02,0.02,0.02,0.02,0,0,0
"EVPA","LOX8",2010-12-06,"KJELDAHL NITROGEN, TOTAL",1.01,0.96,1,1.005,-0.01,0.04,0.05
"EVPA","LOX8",2010-12-06,"IRON, TOTAL",0.023,0.023,0.023,0.023,0,0,0
"EVPA","LOX8",2010-12-06,"CARBON, TOTAL ORGANIC",17.2,17.1,17.7,17.45,0.5,0.599999999999998,0.0999999999999979
"EVPA","LOX8",2010-12-06,"PHOSPHATE, DISSOLVED AS P",0.008,0.008,0.008,0.008,0,0,0
"EVPA","LOX8",2010-12-06,"COLOR",44,45,46,45,2,1,-1
"EVPA","LOX8",2010-12-06,"PHOSPHATE, TOTAL AS P",0.008,0.008,0.008,0.008,0,0,0
"EVPA","LOX8",2010-12-06,"PHOSPHATE, ORTHO AS P",0.002,0.002,0.002,0.002,0,0,0
"EVPA","LOX8",2010-12-06,"NITRITE-N",0.002,0.002,0.002,0.002,0,0,0
"EVPA","LOX8",2010-12-06,"CARBON, DISSOLVED ORGANIC",17,17,17.2,17.1,0.199999999999999,0.199999999999999,0
"EVPA","LOX8",2010-12-06,"SILICA",5.98,6.05,5.79,5.885,-0.19,-0.26,-0.0699999999999994
"EVPA","CA317",2011-03-08,"KJELDAHL NITROGEN, TOTAL",1.96,1.87,1.86,1.91,-0.0999999999999999,-0.01,0.0899999999999999
"EVPA","CA317",2011-03-08,"CARBON, DISSOLVED ORGANIC",26.6,26,25.4,26,-1.2,-0.600000000000001,0.600000000000001
"EVPA","CA317",2011-03-08,"IRON, TOTAL",0.013,0.012,0.012,0.0125,-0.000999999999999999,0,0.000999999999999999
"EVPA","CA317",2011-03-08,"CHLORIDE",93.5,93.3,93.4,93.45,-0.0999999999999943,0.100000000000009,0.200000000000003
"EVPA","CA317",2011-03-08,"SULFATE",13.5,13.6,13.4,13.45,-0.0999999999999996,-0.199999999999999,-0.0999999999999996
"EVPA","CA317",2011-03-08,"POTASSIUM",5.4,5.4,5.5,5.45,0.0999999999999996,0.0999999999999996,0
"EVPA","CA317",2011-03-08,"MAGNESIUM",17.4,17.4,17.7,17.55,0.300000000000001,0.300000000000001,0
"EVPA","CA317",2011-03-08,"CALCIUM",45.1,45.1,45.4,45.25,0.299999999999997,0.299999999999997,0
"EVPA","CA317",2011-03-08,"SODIUM",60.5,60.3,62.6,61.55,2.1,2.3,0.200000000000003
"EVPA","CA317",2011-03-08,"NITRATE+NITRITE-N",0.005,0.005,0.005,0.005,0,0,0
"EVPA","CA317",2011-03-08,"AMMONIA-N",0.026,0.028,0.027,0.0265,0.001,-0.001,-0.002
"EVPA","CA317",2011-03-08,"KJELDAHL NITROGEN, DIS",1.8,1.8,1.78,1.79,-0.02,-0.02,0
"EVPA","CA317",2011-03-08,"COLOR",38,38,38,38,0,0,0
"EVPA","CA317",2011-03-08,"CARBON, TOTAL ORGANIC",26.2,26.1,25.6,25.9,-0.599999999999998,-0.5,0.0999999999999979
"EVPA","CA317",2011-03-08,"PHOSPHATE, DISSOLVED AS P",0.002,0.002,0.002,0.002,0,0,0
"EVPA","CA317",2011-03-08,"PHOSPHATE, ORTHO AS P",0.002,0.002,0.002,0.002,0,0,0
"EVPA","CA317",2011-03-08,"NITRITE-N",0.002,0.008,0.002,0.002,0,-0.006,-0.006
"EVPA","CA317",2011-03-08,"PHOSPHATE, TOTAL AS P",0.008,0.008,0.008,0.008,0,0,0
"EVPA","CA317",2011-03-08,"SILICA",5.86,5.88,5.92,5.89,0.0599999999999996,0.04,-0.0199999999999996
"EVPA","LOX12",2011-04-06,"SULFATE",0.4,0.1,0.4,0.4,0,0.3,0.3
"EVPA","LOX12",2011-04-06,"CHLORIDE",27.4,27,27.7,27.55,0.300000000000001,0.699999999999999,0.399999999999999
"EVPA","LOX12",2011-04-06,"CALCIUM",11.3,11.7,11.1,11.2,-0.200000000000001,-0.6,-0.399999999999999
"EVPA","LOX12",2011-04-06,"SODIUM",17.5,17,17.5,17.5,0,0.5,0.5
"EVPA","LOX12",2011-04-06,"NITRATE+NITRITE-N",0.005,0.005,0.005,0.005,0,0,0
"EVPA","LOX12",2011-04-06,"AMMONIA-N",0.02,0.02,0.02,0.02,0,0,0
"EVPA","LOX12",2011-04-06,"KJELDAHL NITROGEN, DIS",1.08,1.05,1.08,1.08,0,0.03,0.03
"EVPA","LOX12",2011-04-06,"COLOR",40,40,41,40.5,1,1,0
"EVPA","LOX12",2011-04-06,"CARBON, TOTAL ORGANIC",18.2,18,18.5,18.35,0.300000000000001,0.5,0.199999999999999
"EVPA","LOX12",2011-04-06,"PHOSPHATE, DISSOLVED AS P",0.008,0.008,0.008,0.008,0,0,0
"EVPA","LOX12",2011-04-06,"NITRITE-N",0.002,0.002,0.002,0.002,0,0,0
"EVPA","LOX12",2011-04-06,"PHOSPHATE, ORTHO AS P",0.002,0.002,0.002,0.002,0,0,0
"EVPA","LOX12",2011-04-06,"PHOSPHATE, TOTAL AS P",0.008,0.008,0.008,0.008,0,0,0
"EVPA","LOX12",2011-04-06,"SILICA",4.85,4.9,4.68,4.765,-0.17,-0.220000000000001,-0.0500000000000007
"EVPA","LOX12",2011-04-06,"IRON, TOTAL",0.03,0.04,0.022,0.026,-0.008,-0.018,-0.01
"EVPA","LOX12",2011-04-06,"MAGNESIUM",3.6,3.7,3.6,3.6,0,-0.1,-0.1
"EVPA","LOX12",2011-04-06,"POTASSIUM",1.1,1.2,1.1,1.1,0,-0.0999999999999999,-0.0999999999999999
"EVPA","LOX12",2011-04-06,"KJELDAHL NITROGEN, TOTAL",1.13,1.06,1.15,1.14,0.02,0.0899999999999999,0.0699999999999998
"EVPA","LOX12",2011-04-06,"CARBON, DISSOLVED ORGANIC",17.6,17.9,19.2,18.4,1.6,1.3,-0.299999999999997
"EVPA","CA315",2011-07-12,"KJELDAHL NITROGEN, TOTAL",2.57,2.57,2.72,2.645,0.15,0.15,0
"EVPA","CA315",2011-07-12,"CARBON, DISSOLVED ORGANIC",35.5,34.2,35.6,35.55,0.100000000000001,1.4,1.3
"EVPA","CA315",2011-07-12,"IRON, TOTAL",0.596,0.607,0.584,0.59,-0.012,-0.023,-0.011
"EVPA","CA315",2011-07-12,"SULFATE",7.1,7,7.1,7.1,0,0.0999999999999996,0.0999999999999996
"EVPA","CA315",2011-07-12,"CHLORIDE",50.6,50.6,50.2,50.4,-0.399999999999999,-0.399999999999999,0
"EVPA","CA315",2011-07-12,"POTASSIUM",4.6,4.9,4.4,4.5,-0.199999999999999,-0.5,-0.300000000000001
"EVPA","CA315",2011-07-12,"SODIUM",34.2,35.2,33,33.6,-1.2,-2.2,-1
"EVPA","CA315",2011-07-12,"MAGNESIUM",5,5.3,4.9,4.95,-0.0999999999999996,-0.399999999999999,-0.3
"EVPA","CA315",2011-07-12,"CALCIUM",53.4,54.7,52,52.7,-1.4,-2.7,-1.3
"EVPA","CA315",2011-07-12,"AMMONIA-N",0.082,0.087,0.081,0.0815,-0.001,-0.00599999999999999,-0.00499999999999999
"EVPA","CA315",2011-07-12,"NITRATE+NITRITE-N",0.005,0.01,0.005,0.005,0,-0.005,-0.005
"EVPA","CA315",2011-07-12,"KJELDAHL NITROGEN, DIS",2.54,2.49,2.55,2.545,0.00999999999999979,0.0599999999999996,0.0499999999999998
"EVPA","CA315",2011-07-12,"COLOR",141,142,139,140,-2,-3,-1
"EVPA","CA315",2011-07-12,"CARBON, TOTAL ORGANIC",35.8,35.2,36,35.9,0.200000000000003,0.799999999999997,0.599999999999994
"EVPA","CA315",2011-07-12,"PHOSPHATE, ORTHO AS P",0.002,0.002,0.002,0.002,0,0,0
"EVPA","CA315",2011-07-12,"NITRITE-N",0.005,0.005,0.005,0.005,0,0,0
"EVPA","CA315",2011-07-12,"SILICA",8.93,8.98,8.93,8.93,0,-0.0500000000000007,-0.0500000000000007
"EVPA","CA315",2011-07-12,"PHOSPHATE, DISSOLVED AS P",0.01,0.01,0.01,0.01,0,0,0
"EVPA","CA315",2011-07-12,"PHOSPHATE, TOTAL AS P",0.014,0.014,0.014,0.014,0,0,0
"EVPA","LOX14",2011-08-03,"AMMONIA-N",0.05,NA,NA,NA,NA,NA,NA
"EVPA","LOX14",2011-08-03,"KJELDAHL NITROGEN, TOTAL",2.36,2.28,2.35,2.355,-0.00999999999999979,0.0700000000000003,0.0800000000000001
"EVPA","LOX14",2011-08-03,"NITRATE+NITRITE-N",0.005,0.005,0.005,0.005,0,0,0
"EVPA","LOX14",2011-08-03,"CARBON, DISSOLVED ORGANIC",39.3,38.3,39.2,39.25,-0.0999999999999943,0.900000000000006,1
"EVPA","LOX14",2011-08-03,"CALCIUM",36.2,36.4,37.1,36.65,0.899999999999999,0.700000000000003,-0.199999999999996
"EVPA","LOX14",2011-08-03,"POTASSIUM",6.4,6.9,6.8,6.6,0.399999999999999,-0.100000000000001,-0.5
"EVPA","LOX14",2011-08-03,"SODIUM",61.8,67.6,65.1,63.45,3.3,-2.5,-5.8
"EVPA","LOX14",2011-08-03,"MAGNESIUM",8,8.4,8.4,8.2,0.4,0,-0.4
"EVPA","LOX14",2011-08-03,"SULFATE",46.5,41.7,49.3,47.9,2.8,7.59999999999999,4.8
"EVPA","LOX14",2011-08-03,"CHLORIDE",101,112,105,103,4,-7,-11
"EVPA","LOX14",2011-08-03,"IRON, TOTAL",0.233,0.247,0.224,0.2285,-0.00900000000000001,-0.023,-0.014
"EVPA","LOX14",2011-08-03,"KJELDAHL NITROGEN, DIS",2.32,2.2,2.27,2.295,-0.0499999999999998,0.0699999999999998,0.12
"EVPA","LOX14",2011-08-03,"CARBON, TOTAL ORGANIC",39.8,38.6,39.1,39.45,-0.699999999999996,0.5,1.2
"EVPA","LOX14",2011-08-03,"COLOR",180,174,176,178,-4,2,6
"EVPA","LOX14",2011-08-03,"PHOSPHATE, DISSOLVED AS P",0.01,0.009,0.009,0.0095,-0.001,0,0.001
"EVPA","LOX14",2011-08-03,"PHOSPHATE, ORTHO AS P",0.002,0.002,0.002,0.002,0,0,0
"EVPA","LOX14",2011-08-03,"NITRITE-N",0.005,0.006,0.006,0.0055,0.001,0,-0.001
"EVPA","LOX14",2011-08-03,"PHOSPHATE, TOTAL AS P",0.014,0.014,0.014,0.014,0,0,0
"EVPA","LOX14",2011-08-03,"SILICA",12.6,14.4,13.4,13,0.800000000000001,-1,-1.8
"EVPA","LOX12",2011-09-08,"KJELDAHL NITROGEN, TOTAL",1.23,1.18,1.26,1.245,0.03,0.0800000000000001,0.05
"EVPA","LOX12",2011-09-08,"CARBON, DISSOLVED ORGANIC",18,17.8,18,18,0,0.199999999999999,0.199999999999999
"EVPA","LOX12",2011-09-08,"IRON, TOTAL",0.042,0.041,0.041,0.0415,-0.001,0,0.001
"EVPA","LOX12",2011-09-08,"CHLORIDE",17.7,17.8,18.2,17.95,0.5,0.399999999999999,-0.100000000000001
