"","TEST_NAME","8-Hour Bias","8-Hour SD","8-Hour LOA Lower","8-Hour LOA Upper","24-Hour Bias","24-Hour SD","24-Hour LOA Lower","24-Hour LOA Upper","SE 8-Hour Bias","SE 24-Hour Bias","8-Hour 95% Upper CI","8-Hour 95% Lower CI","24-Hour 95% Upper CI","24-Hour 95% Lower CI","8-Hour CI","24-Hour CI","8-Hour Shapiro Wilks","24-Hour Shapiro Wilks","8-Hour Skewness","24-Hour Skewness"
"11","OPO4",-8.3e-05,0.000368,-0.000805,0.000638,-0.000111,0.000465,-0.001022,8e-04,6.1e-05,7.7e-05,4e-05,-0.000206,4.4e-05,-0.000266,"-0.000206 to 4e-05","-0.000266 to 4.4e-05",0,0,-1.038408,-3.88057
"12","SIO2",0.026389,0.106453,-0.182259,0.235037,0.046944,0.119135,-0.186561,0.28045,0.017742,0.019856,0.061873,-0.009095,0.086656,0.007232,"-0.009095 to 0.061873","0.007232 to 0.086656",0.097936,0.02999,0.321568,-0.457725
"13","SO4",-0.086111,0.885164,-1.821033,1.64881,-0.308333,1.476361,-3.202002,2.585335,0.147527,0.24606,0.208944,-0.381166,0.183787,-0.800453,"-0.381166 to 0.208944","-0.800453 to 0.183787",0,1e-06,-2.36863,-1.461936
"14","TDN",0.000833,0.028623,-0.055268,0.056934,-0.022222,0.042028,-0.104597,0.060153,0.00477,0.007005,0.010374,-0.008708,-0.008213,-0.036231,"-0.008708 to 0.010374","-0.036231 to -0.008213",0.041363,0.004797,-0.789221,-1.092718
"15","TDPO4",-0.000667,0.001014,-0.002654,0.001321,-0.00075,0.001538,-0.003764,0.002264,0.000169,0.000256,-0.000329,-0.001005,-0.000237,-0.001263,"-0.001005 to -0.000329","-0.001263 to -0.000237",0.001399,4.5e-05,-0.203704,-1.144799
"16","TDSAL",0.194444,1.954035,-3.635464,4.024353,0.333333,1.956674,-3.501747,4.168414,0.325672,0.326112,0.845789,-0.456901,0.985558,-0.318892,"-0.456901 to 0.845789","-0.318892 to 0.985558",0,0,4.803349,4.559162
"17","TDSFE",-0.5,1.978455,-4.377772,3.377772,0.166667,1.36277,-2.504363,2.837696,0.329742,0.227128,0.159485,-1.159485,0.620924,-0.28759,"-1.159485 to 0.159485","-0.28759 to 0.620924",2e-06,0,0.449005,3.541669
"18","TN",0.015833,0.046622,-0.075546,0.107212,-0.009444,0.030701,-0.069618,0.050729,0.00777,0.005117,0.031374,0.000292,0.00079,-0.019678,"0.000292 to 0.031374","-0.019678 to 0.00079",0.002654,0.14308,1.284065,-0.317426
"19","TOC",-0.197222,0.710929,-1.590643,1.196199,-0.075,0.670341,-1.388868,1.238868,0.118488,0.111724,0.039754,-0.434198,0.148447,-0.298447,"-0.434198 to 0.039754","-0.298447 to 0.148447",4.4e-05,0.081684,-1.610486,-0.438767
"20","TPO4",-2.8e-05,0.002688,-0.005296,0.005241,0.000333,0.001242,-0.002101,0.002768,0.000448,0.000207,0.000868,-0.000924,0.000747,-8.1e-05,"-0.000924 to 0.000868","-8.1e-05 to 0.000747",0,2.9e-05,1.774675,1.249945
